survey,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15+
CTTrawl,1987,0.0577,0.1178,0.1572,0.2614,0.1924,0.1185,0.0585,0.0184,0.0138,0.0022,0,0.0022,0,0,0
CTTrawl,1988,0.042,0.2951,0.2572,0.2149,0.1092,0.0409,0.0121,0.0205,0.0067,0.0013,0,0,0,0,0
CTTrawl,1989,0.1298,0.4128,0.1846,0,0.0909,0,0.1364,0.0455,0,0,0,0,0,0,0
CTTrawl,1990,0.0533,0.6286,0.1611,0.0496,0.0155,0.0367,0.0218,0.0137,0.0099,0.0039,0.0059,0,0,0,0
CTTrawl,1991,0.0279,0.3662,0.2157,0.1463,0.0321,0.0194,0.0584,0.0549,0.0499,0.0189,0.0067,0.0013,0.0023,0,0
CTTrawl,1992,0.0411,0.1471,0.2764,0.2506,0.1482,0.0239,0.0315,0.0422,0.027,0.009,0.0026,0.0005,0,0,0
CTTrawl,1993,0.031,0.053,0.1573,0.2962,0.1254,0.1206,0.0721,0.1081,0.0119,0.0092,0.0047,0.0103,0.0001,0,0
CTTrawl,1994,0.0029,0.1006,0.1804,0.2547,0.2304,0.1184,0.0524,0.0223,0.017,0.0145,0.0055,0.001,0,0,0
CTTrawl,1995,0.0479,0.7499,0.0755,0.039,0.0235,0.0338,0.0063,0.0147,0.0009,0,0.007,0.0014,0,0,0
CTTrawl,1996,0.0208,0.0011,0.5691,0.1971,0.0994,0.0279,0.0443,0.0137,0.0139,0.0064,0.0036,0.0027,0,0,0
CTTrawl,1997,0.1523,0.3143,0.236,0.1282,0.0413,0.0535,0.0302,0.0197,0.0158,0.0022,0.0039,0.0019,0.0008,0,0
CTTrawl,1998,0.056,0.4681,0.2639,0.0847,0.1055,0.0153,0.0044,0.0013,0.0005,0.0001,0,0,0,0,0
CTTrawl,1999,0.018,0.2171,0.2669,0.1308,0.1246,0.1681,0.0436,0.0174,0.0053,0.0042,0.0023,0.0016,0,0,0
CTTrawl,2000,0.0094,0.3876,0.1974,0.0582,0.1086,0.0777,0.0472,0.0822,0.0177,0.006,0.0036,0.002,0.0011,0,0.0013
CTTrawl,2001,0.0659,0.2167,0.2568,0.0947,0.197,0.0977,0.045,0.0201,0.0039,0.0004,0.0015,0.0001,0.0003,0.0001,0
CTTrawl,2002,0.294,0.2842,0.0815,0.0836,0.0454,0.1053,0.0594,0.0196,0.0198,0.0028,0.0037,0,0,0.0008,0
CTTrawl,2003,0.0214,0.441,0.2255,0.1097,0.0848,0.0442,0.038,0.0182,0.0085,0.0064,0.002,0.0002,0,0,0
CTTrawl,2004,0.0194,0.2438,0.2513,0.1387,0.0899,0.1009,0.0565,0.0553,0.0214,0.0123,0.0058,0.0047,0,0,0
CTTrawl,2005,0.045,0.505,0.103,0.249,0.0622,0.0154,0.0113,0.0029,0.0036,0.0014,0.001,0.0001,0,0,0
CTTrawl,2006,0.0022,0.0922,0.5205,0.1257,0.1758,0.0481,0.0175,0.0086,0.0033,0.0038,0.0011,0.0006,0.0004,0,0
CTTrawl,2007,0.009,0.0615,0.2351,0.4289,0.1183,0.1043,0.0272,0.0102,0.0038,0.0004,0.0003,0.0011,0,0,0
CTTrawl,2008,0.1269,0.0906,0.2189,0.1402,0.2723,0.0391,0.0668,0.0262,0.0095,0.0049,0.0005,0.0005,0.0036,0,0
CTTrawl,2009,0.043,0.3277,0.1213,0.2397,0.1024,0.1444,0.0101,0.0083,0.0011,0.0014,0.0004,0.0002,0,0,0
CTTrawl,2010,0.0035,0.0147,0.2207,0.1505,0.2759,0.1284,0.1605,0.0234,0.0141,0.0071,0.0003,0.0008,0,0,0
CTTrawl,2011,0.0162,0.0171,0.0551,0.3639,0.0921,0.1895,0.0966,0.1285,0.0167,0.0134,0.0036,0.0022,0.002,0.001,0.002
CTTrawl,2012,0.2476,0.2802,0.1091,0.0793,0.1524,0.0328,0.0339,0.0282,0.0244,0.0035,0.005,0.0017,0.002,0,0
CTTrawl,2013,0.0976,0.2649,0.3015,0.1172,0.0453,0.0928,0.0161,0.0144,0.0248,0.0126,0.0087,0.0009,0.0022,0.0004,0.0004
CTTrawl,2014,0.0072,0.0444,0.5509,0.2926,0.0337,0.003,0.0055,0.0095,0.017,0.0165,0.014,0.0035,0.0015,0.0002,0.0005
CTTrawl,2015,0.054,0.0752,0.0823,0.5106,0.1048,0.0289,0.0174,0.018,0.0257,0.0322,0.0257,0.0193,0.0039,0.0019,0
CTTrawl,2016,0.4277,0.315,0.0599,0.0319,0.1357,0.0111,0.0032,0.0021,0.003,0.003,0.0033,0.0032,0.0006,0.0002,0.0002
CTTrawl,2017,0.1082,0.5954,0.1251,0.0765,0.0414,0.0384,0.0075,0.0021,0.0021,0.0019,0.0002,0.0013,0,0,0