"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","tslength","approach","maxE","iter"
"1","5yrs20ages",0.21745136141053,0.298135562911527,0.01,1.74588907663548,0.938596914929084,NA,NA,NA,5,"hier",2,1
"2","10yrs10ages",0.158969386035819,0.0748465126250402,0.01,3.29924463675955,0.993083318019186,4.0477809110072e-62,NA,NA,10,"hier",3,1
"3","20yrs5ages",0.149302771242306,0.0895286092291455,0.01,1.1787045476487,0.999130708934313,0.0649185615578535,0.337761107488537,NA,20,"hier",4,1
"4","25yrs4ages",0.110579495687124,0.0180840108343635,0.01,2.88674757141278,0.999603453590728,0.00882854801625383,8.94969838872973e-13,0.0274160414504124,25,"hier",5,1
"5","5yrs20ages",0.153800400529222,0.427179210209049,0.01,2.40703306569766,0.967636377860481,NA,NA,NA,5,"hier",2,2
"6","10yrs10ages",0.130644968191316,0.0842744623868718,0.01,3.24103351616723,0.992191001910387,2.07610741650933e-16,NA,NA,10,"hier",3,2
"7","20yrs5ages",0.146620189502706,0.109463550405422,0.01,1.07386785962662,0.999025526826006,0.0678772836292398,0.282757553372062,NA,20,"hier",4,2
"8","25yrs4ages",0.0975616294060696,0.0151216930016629,0.01,2.91846701833962,0.999609115794844,0.00964707973583498,7.78296999064112e-10,0.0287894603915535,25,"hier",5,2
"9","5yrs20ages",1.10830400296386,0.327626151650771,0.0185841865943467,1.21848914482629,0.983396232318455,NA,NA,NA,5,"hier",2,3
"10","10yrs10ages",0.245589412988624,0.112064914672384,0.01,3.06643238109994,0.9975073672102,0.00349730642809612,NA,NA,10,"hier",3,3
"11","20yrs5ages",0.142181698618964,0.135743007013055,0.01,1.15795939075031,0.99853929480229,0.0122878694315739,0.214382344573193,NA,20,"hier",4,3
"12","25yrs4ages",0.100788009064323,0.0171381237591907,0.01,2.93435865428847,0.999704507444423,0.0066459490545887,1.06629839461286e-14,0.0285705807539619,25,"hier",5,3
"13","5yrs20ages",1.0411092672933,0.793916043586174,0.0139830451751401,1.29205943295025,0.983078673996871,NA,NA,NA,5,"hier",2,4
"14","10yrs10ages",0.147898747121982,0.0662568843064731,0.01,3.59254755624015,0.996832036112859,0.00300032018910501,NA,NA,10,"hier",3,4
"15","20yrs5ages",0.104012898598638,0.110576108629929,0.01,1.43289534438043,0.998209544229434,0.00242296177930116,0.234519822556344,NA,20,"hier",4,4
"16","25yrs4ages",0.100651994760256,0.0141441602506312,0.01,2.96742551191312,0.999699606551275,0.00834417817269139,6.46532616233507e-17,0.0262343954706886,25,"hier",5,4
"17","5yrs20ages",0.216146070520565,0.295688532017703,0.01,1.75250445723719,0.938252855355037,NA,NA,NA,5,"hier",2,5
"18","10yrs10ages",0.159677913599878,0.0750601825320832,0.01,3.29078482293916,0.993080069001647,4.0477809110072e-62,NA,NA,10,"hier",3,5
"19","20yrs5ages",0.149248763237248,0.0891984447791606,0.01,1.18033164597955,0.999132374921352,0.0648768726719135,0.338595394849204,NA,20,"hier",4,5
"20","25yrs4ages",0.1108915593955,0.0182172341431037,0.01,2.88504015418714,0.999602827787598,0.00883926615185875,5.23797211810231e-17,0.0274100825582441,25,"hier",5,5
"21","5yrs20ages",1.14100841038014,0.233045124904779,0.0221619324047213,1.3329476721667,0.98569859721282,NA,NA,NA,5,"hier",2,6
"22","10yrs10ages",0.351487899913957,0.140393803260165,0.01,2.63723241220545,0.997832789897692,0.00632698101969954,NA,NA,10,"hier",3,6
"23","20yrs5ages",0.167826050002382,0.136197586856431,0.01,1.06705949763993,0.998681051292833,0.0236239515980429,0.198034847227562,NA,20,"hier",4,6
"24","25yrs4ages",0.10638442611897,0.01942558533903,0.01,2.90734002983378,0.999694766570403,0.00540039432581147,1.51487410279902e-12,0.0295242769525183,25,"hier",5,6
"25","5yrs20ages",0.154215050505061,0.427203915259073,0.010000000000001,2.40979671402716,0.967744146526287,NA,NA,NA,5,"hier",2,7
"26","10yrs10ages",0.13102162576038,0.0840752055748369,0.01,3.23684502149342,0.992219533652276,3.54727646146673e-12,NA,NA,10,"hier",3,7
"27","20yrs5ages",0.146269240259168,0.10795802066171,0.01,1.08991946704296,0.9990343587921,0.0674117396129371,0.282074565983858,NA,20,"hier",4,7
"28","25yrs4ages",0.0977398570298199,0.015059601370222,0.01,2.91455245753025,0.99960876806438,0.00971200547436718,3.58990621556741e-11,0.0288705943616336,25,"hier",5,7
"29","5yrs20ages",0.14761569075178,0.218553115496176,0.01,1.88200323080833,0.93132782792398,NA,NA,NA,5,"hier",2,8
"30","10yrs10ages",0.447122580986251,0.146614392852137,0.01,2.38484480534637,0.99787653842817,0.0116977706072389,NA,NA,10,"hier",3,8
"31","20yrs5ages",0.19258131265496,0.13016153618581,0.01,1.04787710472674,0.998835213299836,0.0381298038887102,0.184905424378783,NA,20,"hier",4,8
"32","25yrs4ages",0.11312473099347,0.0204871321399624,0.01,2.88237749808537,0.999675086193574,0.00578403421607876,8.86607343426105e-17,0.0294776745612269,25,"hier",5,8
"33","5yrs20ages",0.12974126335742,0.21583918083806,0.01,1.91331637429489,0.925369692673591,NA,NA,NA,5,"hier",2,9
"34","10yrs10ages",0.126100849171432,0.0931669691413796,0.01,3.43731728375219,0.99398383312684,5.62207180527336e-256,NA,NA,10,"hier",3,9
"35","20yrs5ages",0.197695522905027,0.126774068051198,0.01,1.05846630529962,0.99889706229355,0.0438437024712299,0.186014647169508,NA,20,"hier",4,9
"36","25yrs4ages",0.115919611998649,0.0201134914319548,0.01,2.85681891438114,0.999662427032337,0.00699352876188917,1.46134540668237e-52,0.0289187323624958,25,"hier",5,9
"37","5yrs20ages",0.125924711481788,0.438808776777041,0.01,2.49007781931405,0.963533483806079,NA,NA,NA,5,"hier",2,10
"38","10yrs10ages",0.111171077544671,0.0936427715396407,0.01,3.3359490630564,0.991993764031389,2.3680553833744e-16,NA,NA,10,"hier",3,10
"39","20yrs5ages",0.135295021120285,0.109673092421532,0.01,1.05775950352202,0.998952841107792,0.0637471775976013,0.306839942872779,NA,20,"hier",4,10
"40","25yrs4ages",0.0945875064065783,0.0131215882064011,0.01,2.9304409611513,0.999620271752134,0.011200919950588,1.71040401923489e-08,0.0293306149893829,25,"hier",5,10
"41","5yrs20ages",0.701825060357586,0.871364726533057,0.0134601446674581,1.38150867082298,0.968601737359186,NA,NA,NA,5,"hier",2,11
"42","10yrs10ages",0.11240161949547,0.105699418823333,0.01,3.21273760156685,0.988957663051561,4.90229150274245e-24,NA,NA,10,"hier",3,11
"43","20yrs5ages",0.0748584838369077,2.94341875617583e-147,0.01,1.99365639374153,0.999537057865447,0.06450149280639,0.699907650024311,NA,20,"hier",4,11
"44","25yrs4ages",0.0960717202234824,0.0127283289799098,0.01,2.96686831241585,0.999643411788646,0.0137433103682246,8.55996620631586e-08,0.0216958275053609,25,"hier",5,11
"45","5yrs20ages",0.135298097656676,0.21239436749916,0.01,1.8979180983652,0.926838223046816,NA,NA,NA,5,"hier",2,12
"46","10yrs10ages",0.454897516944991,0.144825870626034,0.01,2.38686688081337,0.997839170663871,0.0134779321654727,NA,NA,10,"hier",3,12
"47","20yrs5ages",0.197321719141228,0.128916047535174,0.01,1.03986420468,0.998864421813163,0.0425414339712584,0.185701667174619,NA,20,"hier",4,12
"48","25yrs4ages",0.115257144347929,0.0203386069648247,0.01,2.85008020224342,0.999665903448178,0.00650778549270282,1.51487410279902e-12,0.0292794262555222,25,"hier",5,12
"49","5yrs20ages",0.124755404459665,0.438609469305092,0.01,2.46842865651718,0.962563766323089,NA,NA,NA,5,"hier",2,13
"50","10yrs10ages",0.110129474644883,0.0938718352254695,0.01,3.35380862873077,0.992034896663247,3.90313353811292e-52,NA,NA,10,"hier",3,13
"51","20yrs5ages",0.135410394501237,0.110143867937346,0.01,1.04894994604675,0.998941402341102,0.0637535549554099,0.308888183552593,NA,20,"hier",4,13
"52","25yrs4ages",0.0951142082347767,0.0130910634668074,0.01,2.92954665848468,0.999622275354772,0.0112025505096073,1.31738737659936e-09,0.029305325427171,25,"hier",5,13
"53","5yrs20ages",0.196610800939658,0.256731357414612,0.01,1.81015677306429,0.942595855184969,NA,NA,NA,5,"hier",2,14
"54","10yrs10ages",0.425153196883367,0.147804420766875,0.01,2.42641661503334,0.997894813289006,0.00966551140535454,NA,NA,10,"hier",3,14
"55","20yrs5ages",0.185584384978346,0.131190473029438,0.01,1.05526535593544,0.998793523369563,0.0332488523964446,0.186592717426796,NA,20,"hier",4,14
"56","25yrs4ages",0.110909028457138,0.020503620639874,0.01,2.89576410843967,0.999682845352755,0.00522448873901978,1.8048740345142e-14,0.0296911945786068,25,"hier",5,14
"57","5yrs20ages",1.14340122869235,2.19753734169308,0.01,1.62340039617109,0.993381364541516,NA,NA,NA,5,"hier",2,15
"58","10yrs10ages",0.101197911916491,0.0999627562632756,0.01,3.31376661603035,0.989167912642695,6.36550969243595e-09,NA,NA,10,"hier",3,15
"59","20yrs5ages",0.0717854089273079,0,0.01,1.96172252292177,0.999523871563255,0.064441372573449,0.727869967848121,NA,20,"hier",4,15
"60","25yrs4ages",0.0933182615626242,0.0108311944523515,0.01,2.9817793606888,0.999632963951874,0.0153422524601856,2.74886682078609e-09,0.0222120465814332,25,"hier",5,15
"61","5yrs20ages",1.13977694469565,0.216856221177208,0.0234770602142374,1.36472695269529,0.986294563090765,NA,NA,NA,5,"hier",2,16
"62","10yrs10ages",0.371758035825381,0.142858477302568,0.01,2.59876611144257,0.997896642965444,0.00701737428708571,NA,NA,10,"hier",3,16
"63","20yrs5ages",0.172897991194823,0.135382827398326,0.01,1.05777590806733,0.998708365486376,0.0262120463981489,0.194880914114994,NA,20,"hier",4,16
"64","25yrs4ages",0.10714420229161,0.0200050167021417,0.01,2.91780169257999,0.999694309302354,0.00498101032311337,1.31738737659936e-09,0.0295209836509614,25,"hier",5,16
"65","5yrs20ages",0.146715107755892,0.426143847088669,0.0100000002938087,2.44346906917509,0.967347471957849,NA,NA,NA,5,"hier",2,17
"66","10yrs10ages",0.125614088325293,0.0869727173062381,0.01,3.25379261587039,0.992081516729391,4.58251109606619e-126,NA,NA,10,"hier",3,17
"67","20yrs5ages",0.142864566495145,0.108904538029616,0.01,1.07691327607052,0.999014504205077,0.0668943891884799,0.289106424533455,NA,20,"hier",4,17
"68","25yrs4ages",0.0963453067189835,0.0144871833136548,0.01,2.91765272001999,0.999608673721897,0.0101412601587211,1.01048661844173e-08,0.0290531436361201,25,"hier",5,17
"69","5yrs20ages",0.200507152272033,0.363466558166161,0.01,1.92648217844434,0.953679801162456,NA,NA,NA,5,"hier",2,18
"70","10yrs10ages",0.152729366675203,0.0752521090112764,0.01,3.26182640741564,0.992879902496678,2.78886559577074e-31,NA,NA,10,"hier",3,18
"71","20yrs5ages",0.160704430416574,0.101693937868231,0.01,1.14998695599962,0.999090873624283,0.0678187495146417,0.261664887894758,NA,20,"hier",4,18
"72","25yrs4ages",0.106329761113682,0.0177672578045957,0.01,2.89909900929497,0.999603435428904,0.00805114121589768,4.31214701966773e-27,0.0283298444090576,25,"hier",5,18
"73","5yrs20ages",0.127273296181861,0.222446618539989,0.01,1.93392817305917,0.926124677272303,NA,NA,NA,5,"hier",2,19
"74","10yrs10ages",0.122754934599313,0.0923710806031937,0.01,3.45301823769854,0.993818848448916,6.35811624146851e-62,NA,NA,10,"hier",3,19
"75","20yrs5ages",0.19895553461881,0.126744896848779,0.01,1.04550407911146,0.998900446669671,0.0463223318962724,0.190423001841562,NA,20,"hier",4,19
"76","25yrs4ages",0.116894036904633,0.0198814223097866,0.01,2.84704653630958,0.999658893198799,0.00734104136267354,7.12397212243836e-23,0.0286843608624527,25,"hier",5,19
"77","5yrs20ages",1.96014580522562,0.228388083110448,0.0362427462100996,1.56538107653704,0.994688445396976,NA,NA,NA,5,"hier",2,20
"78","10yrs10ages",0.0962181550982529,0.0898577457965646,0.01,3.29081528388088,0.9919238050205,0.0124707955093483,NA,NA,10,"hier",3,20
"79","20yrs5ages",0.0683167386797892,1.00623771306641e-242,0.01,1.92322247447468,0.999502580489564,0.0632062364667139,0.770570243990516,NA,20,"hier",4,20
"80","25yrs4ages",0.15263585602249,1.89940125961977e-06,0.01,2.93889736257741,0.999715087139087,0.0541112099930748,1.03590348711017e-317,5.44984509294323e-109,25,"hier",5,20
"81","5yrs20ages",0.128232078574931,0.218919657684772,0.01,1.92525997265514,0.925779281952801,NA,NA,NA,5,"hier",2,21
"82","10yrs10ages",0.124300220888367,0.0923736004837327,0.01,3.44478672887053,0.993898267218723,2.09145342582615e-299,NA,NA,10,"hier",3,21
"83","20yrs5ages",0.198638837541426,0.127072156335738,0.01,1.04928767895828,0.99889585581276,0.0453181344643961,0.188426154574018,NA,20,"hier",4,21
"84","25yrs4ages",0.116512111198798,0.0200340948782479,0.01,2.85214658719336,0.999660301108609,0.00721310453583156,1.19099267088797e-31,0.0288220590313592,25,"hier",5,21
"85","5yrs20ages",1.12314980293936,1.16392245382166,0.0281865571890616,1.42151408608331,0.992258829885076,NA,NA,NA,5,"hier",2,22
"86","10yrs10ages",0.0973797186212463,0.0927293510281944,0.01,3.25987955575854,0.991866161339889,0.0133236624861164,NA,NA,10,"hier",3,22
"87","20yrs5ages",0.0688087538510165,6.84117416617109e-308,0.01,1.93014678151951,0.999507303880328,0.0634539910457559,0.762881524000891,NA,20,"hier",4,22
"88","25yrs4ages",0.135176063086133,3.64431121391543e-204,0.01,3.07138816813395,0.999724677633032,0.0515321930108412,0,1.07962072408523e-43,25,"hier",5,22
"89","5yrs20ages",0.126482719390513,0.438567754338322,0.01,2.49168661807046,0.963730965696862,NA,NA,NA,5,"hier",2,23
"90","10yrs10ages",0.111413398728423,0.0933883103851041,0.01,3.34029812712334,0.992016140731727,1.94949547908735e-26,NA,NA,10,"hier",3,23
"91","20yrs5ages",0.135624576902269,0.110017150075463,0.01,1.05294422773547,0.998950165917203,0.0641167492775319,0.307036270711906,NA,20,"hier",4,23
"92","25yrs4ages",0.0946230050661939,0.013054527497524,0.01,2.91980183284143,0.999619553461573,0.0112741415824418,6.07646841405142e-11,0.0293416227594086,25,"hier",5,23
"93","5yrs20ages",1.66236402091238,0.203932441114537,0.0429288833401926,1.32766157357126,0.988255545177717,NA,NA,NA,5,"hier",2,24
"94","10yrs10ages",0.104782783547789,0.0757363518430304,0.01,3.50802654509663,0.991251591275175,4.38065498839714e-31,NA,NA,10,"hier",3,24
"95","20yrs5ages",0.0954671339888963,0.0335687549000582,0.01,1.59273698222858,0.9993368662584,0.0547408105126511,0.543181101551337,NA,20,"hier",4,24
"96","25yrs4ages",0.15538812176915,0.00443973853107887,0.01,2.94712071683165,0.999714456948817,0.0512519788226376,6.58368641469302e-65,1.10426874877202e-251,25,"hier",5,24
"97","5yrs20ages",0.130627927028627,0.434184880612271,0.01,2.50149481925513,0.965097902922643,NA,NA,NA,5,"hier",2,25
"98","10yrs10ages",0.114486138303426,0.0923617064220623,0.01,3.30983084536511,0.991961036210784,4.22634934923971e-14,NA,NA,10,"hier",3,25
"99","20yrs5ages",0.136696607722593,0.109709582174166,0.01,1.05912047321676,0.998967214942591,0.0648826276899195,0.303214800415245,NA,20,"hier",4,25
"100","25yrs4ages",0.094098039535973,0.0132859357200854,0.01,2.94051163141459,0.999618662610526,0.0109553667374204,1.71040401923489e-08,0.029267957925285,25,"hier",5,25
"101","5yrs20ages",0.137788492717197,0.214430077224144,0.01,1.92295137961804,0.929667015665034,NA,NA,NA,5,"hier",2,26
"102","10yrs10ages",0.453858686126575,0.145220662027939,0.01,2.37555931008165,0.997859924264839,0.0127884626033176,NA,NA,10,"hier",3,26
"103","20yrs5ages",0.194897963790947,0.129070208460145,0.01,1.04952777051404,0.998858722556656,0.0403661206573389,0.184876872318252,NA,20,"hier",4,26
"104","25yrs4ages",0.114232365270169,0.020283046957296,0.01,2.8619079820922,0.99966892369223,0.00624910573446834,1.71040401923489e-08,0.029492349778998,25,"hier",5,26
"105","5yrs20ages",0.156513063146638,0.427395241301605,0.01,2.3829038228563,0.96744911872126,NA,NA,NA,5,"hier",2,27
"106","10yrs10ages",0.132497518898233,0.0835143969918027,0.01,3.23037622783317,0.992224661760145,4.22634934923971e-14,NA,NA,10,"hier",3,27
"107","20yrs5ages",0.147449399055678,0.107697289437821,0.01,1.09232346861494,0.999037993112359,0.0676401300354519,0.280454151378956,NA,20,"hier",4,27
"108","25yrs4ages",0.0981297589735261,0.0151798112045703,0.01,2.91766079218619,0.99960928566835,0.00952253752508291,1.06629839461286e-14,0.0287755568928294,25,"hier",5,27
"109","5yrs20ages",1.12224354810184,0.244041356540148,0.01,1.34862340608683,0.970572471015195,NA,NA,NA,5,"hier",2,28
"110","10yrs10ages",0.422558010534696,0.147976998431593,0.01,2.43015928562081,0.997893153876464,0.00949070414621625,NA,NA,10,"hier",3,28
"111","20yrs5ages",0.1852808885218,0.132328308118423,0.01,1.04978063857694,0.998781578606007,0.0330217106218105,0.187786675276316,NA,20,"hier",4,28
"112","25yrs4ages",0.110744310773789,0.0204206983431092,0.01,2.89661197090454,0.999683716928785,0.00517426902070483,1.51487410279902e-12,0.0297119471472599,25,"hier",5,28
"113","5yrs20ages",0.138523861868252,0.426904222753962,0.0100000000002034,2.49530998929358,0.966782083619694,NA,NA,NA,5,"hier",2,29
"114","10yrs10ages",0.120215032641341,0.0898113392828759,0.01,3.27065660374513,0.991990283587431,2.78886559577074e-31,NA,NA,10,"hier",3,29
"115","20yrs5ages",0.140136464175579,0.109457615077144,0.01,1.06375979694349,0.998974670030326,0.0660778231943668,0.297091250934194,NA,20,"hier",4,29
"116","25yrs4ages",0.094943439011226,0.013686965577818,0.01,2.92332929785144,0.999614930649017,0.0107442740663756,1.06629839461286e-14,0.0291026710840026,25,"hier",5,29
"117","5yrs20ages",0.196131937144619,0.387403001810207,0.01,1.95255407322445,0.956503916476473,NA,NA,NA,5,"hier",2,30
"118","10yrs10ages",0.149896276135103,0.0760305378727673,0.01,3.25659774324761,0.99278857079822,1.66817153817457e-22,NA,NA,10,"hier",3,30
"119","20yrs5ages",0.158882270885242,0.102914061366285,0.01,1.14034853817608,0.99908642394964,0.067764483759982,0.263130287490647,NA,20,"hier",4,30
"120","25yrs4ages",0.105017078303264,0.0173554559236636,0.01,2.89375647301264,0.999603118217257,0.00831117990937621,3.58990621556741e-11,0.0284494520059909,25,"hier",5,30
"121","5yrs20ages",0.127853239781616,0.219422334723886,0.01,1.93114808208119,0.926130202121629,NA,NA,NA,5,"hier",2,31
"122","10yrs10ages",0.124404024880843,0.0924496939509807,0.01,3.44353494692792,0.993920457482618,3.94370943252188e-88,NA,NA,10,"hier",3,31
"123","20yrs5ages",0.1987470325188,0.126281026454442,0.01,1.05633963560005,0.998900865367092,0.0451817371961835,0.187196922333915,NA,20,"hier",4,31
"124","25yrs4ages",0.116512111198798,0.0200340948782479,0.01,2.84964196020475,0.999660301108609,0.00729888720777379,1.19099267088797e-31,0.0288220590313592,25,"hier",5,31
"125","5yrs20ages",0.934771247797683,2.24050308694924,0.01,1.68397480538997,0.990466545236895,NA,NA,NA,5,"hier",2,32
"126","10yrs10ages",0.10583052279011,0.103408994607371,0.01,3.26554273595911,0.989013342067643,3.2610787426873e-16,NA,NA,10,"hier",3,32
"127","20yrs5ages",0.0732995728949336,6.38332814426891e-321,0.01,1.97661883869167,0.99953034284769,0.0646226462975512,0.713368442595147,NA,20,"hier",4,32
"128","25yrs4ages",0.0936436124948669,0.0115013079616542,0.01,2.99386452704271,0.999637989806773,0.0146419918648698,2.925103638361e-08,0.0219464546393368,25,"hier",5,32
"129","5yrs20ages",1.22038766793195,0.259780910099258,0.01,1.19511451536772,0.969951992032351,NA,NA,NA,5,"hier",2,33
"130","10yrs10ages",0.395356130062328,0.146650205529202,0.01,2.4953559095419,0.997886078204069,0.0080262411122022,NA,NA,10,"hier",3,33
"131","20yrs5ages",0.178139661055814,0.134165159022969,0.01,1.05473348621382,0.998738828960687,0.0287026743409725,0.191236251039429,NA,20,"hier",4,33
"132","25yrs4ages",0.108654383119316,0.0203474159062566,0.01,2.907750944347,0.999690044839613,0.00496494978264965,1.44850406180621e-07,0.0296581741114967,25,"hier",5,33
"133","5yrs20ages",0.204335787047968,0.341014062687886,0.01,1.87839576249411,0.949782895939154,NA,NA,NA,5,"hier",2,34
